kingdom,phylum,ERR977407,ERR977408,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977412,ERR977414,ERR977417,ERR977422
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,303,48
Archaea,Euryarchaeota,1,1,5,10,3,63,0,0,0,0,11,18,0,3
Archaea,Parvarchaeota,0,0,0,2,4,28,0,0,0,0,2,1,4,10
Bacteria,Acidobacteria,24,21,26,313,318,391,1,0,0,0,96,179,434,178
Bacteria,Actinobacteria,126,109,176,1113,2557,3723,23,41,48,0,98,776,165,605
Bacteria,Armatimonadetes,1,0,2,5,22,16,0,0,0,0,4,6,40,23
Bacteria,Bacteroidetes,43,25,116,547,649,1830,0,0,0,0,614,290,297,4935
Bacteria,Caldiserica,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Bacteria,Caldithrix,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria,Chlamydiae,0,0,2,9,52,140,0,0,0,0,3,18,37,11
Bacteria,Chlorobi,11,10,23,160,166,205,0,0,0,0,18,57,52,102
Bacteria,Chloroflexi,85,57,169,1252,3265,2777,0,0,0,0,498,1312,218,210
Bacteria,Cyanobacteria,0,0,6,12,40,179,0,0,0,0,14,8,3,70
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,0,0,0,3,8,28,0,0,0,0,2,0,71,18
Bacteria,Fibrobacteres,1,0,0,2,0,0,0,0,0,0,0,1,0,0
Bacteria,Firmicutes,32,24,105,426,709,1667,2,3,5,3,72,198,11,11
Bacteria,Fusobacteria,0,0,0,3,10,20,0,0,0,0,0,0,0,0
Bacteria,Gemmatimonadetes,6,5,10,86,67,160,0,0,0,0,27,14,132,45
Bacteria,Lentisphaerae,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,9,14,21,176,249,217,2845,2266,3928,1690,13,157,3483,1253
Bacteria,Planctomycetes,26,10,24,192,339,343,99,111,166,71,109,252,305,120
Bacteria,Proteobacteria,181,138,273,2042,2676,14077,1211,1431,2867,1929,1389,1875,4473,28177
Bacteria,Spirochaetes,1,1,3,3,18,82,0,0,0,0,19,6,21,5
Bacteria,Synergistetes,0,0,0,0,3,4,0,0,0,0,2,5,0,0
Bacteria,Tenericutes,0,0,0,2,2,15,0,0,0,0,1,0,0,21
Bacteria,Thermi,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Thermotogae,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,8,5,9,85,131,365,0,0,0,0,34,31,196,130
