study_id,study_name,bioproject,centre_name,n_samples,biomes,experiment_type,pipeline_version,sampling_country
MGYS00001392,Retrieval of Commamox genomes using metagenomics,PRJEB10139,AALBORG UNIVERSITY,14.0,Wastewater:Industrial wastewater:Petrochemical,metagenomic,3.0,Europe
MGYS00001542,Metagenomes of Danish EBPR WWTPs,PRJEB8087,AALBORG UNIVERSITY,17.0,Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge,metagenomic,3.0,Denmark
MGYS00000597,High throughput analysis of class 1 integron gene casettes in wastewater environments,PRJEB12330,ARO,16.0,Wastewater:Water and sludge,metagenomic,2.0,Europe
MGYS00003139,Global surveillance of antimicrobial resistance - Batch June 2017,PRJEB27621,DTU-GE,181.0,Wastewater,metagenomic,4.1,Global
MGYS00001312,Global surveillance of infectious diseases and antimicrobial resistance from sewage,PRJEB13831,DTU-GE,179.0,Wastewater:Water and sludge,metagenomic,4.1,Global
MGYS00001135,Local surveillance of infectious diseases and antimicrobial resistance from sewage,PRJEB13832,DTU-GE,65.0,Wastewater:Water and sludge,metagenomic,2.0,Denmark
MGYS00001910,The influence of sludge retention time on the  expressed functional diversity of and biotransformation rates of micropollutants performed by a community originating from wastewater activated sludge,PRJEB22087,EAWAG,170.0,Wastewater:Activated Sludge,metatranscriptomic,4.1,Switzerland
MGYS00005055,Resistflow-NFC-DNA data,PRJEB28728,EAWAG,24.0,Wastewater:Water and sludge,metagenomic,4.1,Switzerland
MGYS00005056,Resistflow-INF-DNA data,PRJEB28815,EAWAG,24.0,Wastewater,metagenomic,4.1,Switzerland
MGYS00005058,Resistflow-EFF-DNA data,PRJEB30264,EAWAG,24.0,Wastewater,metagenomic,4.1,Switzerland
MGYS00000777,Influence of biodiversity on the functionality of activated sludge communities,PRJEB13232,EAWAG,30.0,Wastewater:Industrial wastewater,metagenomic,2.0,Switzerland
MGYS00000823,Studying the presence and selection of antibiotic resistance genes,PRJEB13233,EAWAG,36.0,Wastewater:Activated Sludge,metatranscriptomic,2.0,Switzerland
MGYS00002058,EMG produced TPA metagenomics assembly of the Shotgun sequencing on multiple activated sludge samples (activated sludge metagenome) data set,PRJEB22550,EMBL-EBI,12.0,Wastewater:Activated Sludge,assembly,4.1,Argentina
MGYS00005769,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,PRJEB42552,EMG,11.0,Wastewater:Water and sludge,assembly,5.0,Hong Kong
MGYS00005846,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,PRJEB47494,EMG,110.0,Wastewater:Water and sludge,assembly,5.0,Global
MGYS00005025,EMG produced TPA metagenomics assembly of the BPA degrading microbial community Raw sequence reads (BPA degrading microbial community) data set.,PRJEB29895,EMG,10.0,Wastewater:Activated Sludge,assembly,4.1,Hong Kong
MGYS00005418,EMG produced TPA metagenomics assembly of the PRJEB13832 data set (Local surveillance of infectious diseases and antimicrobial resistance from sewage).,PRJEB33180,EMG,54.0,Wastewater:Water and sludge,assembly,4.1,Denmark
MGYS00001277,Shotgun sequencing on multiple activated sludge samples,PRJNA288131,INGEBI-CONICET,12.0,Wastewater:Activated Sludge,metagenomic,3.0,Argentina
MGYS00001566,Black Water Project,PRJEB19684,the Netherlands Institute of Ecology,36.0,Wastewater,metagenomic,3.0,Netherlands
MGYS00001110,Metagenomic characterization of three Swedish sewage treatment plants,PRJEB14051,UNIVERSITY OF GOTHENBURG,70.0,"Wastewater:Activated Sludge, Wastewater:Industrial wastewater",metagenomic,2.0,Sweden
